testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,EAKF,0.5,0.01,0.045,3.633510140800711,
True,L63+time,EAKF,0.5,0.01,0.045,4.24224747465209,
True,L63+time,EAKF,0.5,0.01,0.045,3.7265380097362115,
True,L63+time,EAKF,0.5,0.01,0.046,4.339779553748527,
True,L63+time,EAKF,0.5,0.01,0.046,4.12317650614433,
True,L63+time,EAKF,0.5,0.01,0.046,4.61783626348572,
True,L63+time,EAKF,0.5,0.01,0.047,4.572818466923218,
True,L63+time,EAKF,0.5,0.01,0.047,5.162181511808997,
True,L63+time,EAKF,0.5,0.01,0.047,4.481641862222019,
True,L63+time,EAKF,0.5,0.01,0.048,5.050754233584844,
True,L63+time,EAKF,0.5,0.01,0.048,4.0874691107990175,
True,L63+time,EAKF,0.5,0.01,0.048,4.619179667812143,
True,L63+time,EAKF,0.5,0.01,0.049,4.941268320828208,
True,L63+time,EAKF,0.5,0.01,0.049,4.251234946064596,
True,L63+time,EAKF,0.5,0.01,0.049,4.429825464938321,
True,L63+time,EAKF,0.5,0.05,0.0,0.6452576167220925,
True,L63+time,EAKF,0.5,0.05,0.0,0.5351338629390358,
True,L63+time,EAKF,0.5,0.05,0.0,0.8194915495846673,
True,L63+time,EAKF,0.5,0.05,0.001,0.8039610566605038,
True,L63+time,EAKF,0.5,0.05,0.001,0.5962282124158661,
True,L63+time,EAKF,0.5,0.05,0.001,0.6257619980665721,
True,L63+time,EAKF,0.5,0.05,0.002,0.6174423209584801,
True,L63+time,EAKF,0.5,0.05,0.002,0.6364428811248125,
True,L63+time,EAKF,0.5,0.05,0.002,0.6308891592846888,
True,L63+time,EAKF,0.5,0.05,0.003,0.8252795342688585,
True,L63+time,EAKF,0.5,0.05,0.003,0.7892515017785902,
True,L63+time,EAKF,0.5,0.05,0.003,0.841161801311434,
True,L63+time,EAKF,0.5,0.05,0.004,0.8056124704415727,
True,L63+time,EAKF,0.5,0.05,0.004,0.8364437221006177,
True,L63+time,EAKF,0.5,0.05,0.004,0.9199891120923728,
True,L63+time,EAKF,0.5,0.05,0.005,0.766876911916321,
True,L63+time,EAKF,0.5,0.05,0.005,0.7225049838319437,
True,L63+time,EAKF,0.5,0.05,0.005,0.8287868901189384,
True,L63+time,EAKF,0.5,0.05,0.006,0.8854181898176714,
True,L63+time,EAKF,0.5,0.05,0.006,0.772101956738307,
True,L63+time,EAKF,0.5,0.05,0.006,0.9228171994628781,
True,L63+time,EAKF,0.5,0.05,0.007,0.7459926114756127,
True,L63+time,EAKF,0.5,0.05,0.007,0.7729032193788066,
True,L63+time,EAKF,0.5,0.05,0.007,0.8416820104172593,
True,L63+time,EAKF,0.5,0.05,0.008,1.0027775265001782,
True,L63+time,EAKF,0.5,0.05,0.008,1.0092625216140472,
True,L63+time,EAKF,0.5,0.05,0.008,0.7625615115770785,
True,L63+time,EAKF,0.5,0.05,0.009000000000000001,0.9737042855831785,
True,L63+time,EAKF,0.5,0.05,0.009000000000000001,0.9659263981110016,
True,L63+time,EAKF,0.5,0.05,0.009000000000000001,0.9758666735098854,
True,L63+time,EAKF,0.5,0.05,0.01,1.4065770037527583,
True,L63+time,EAKF,0.5,0.05,0.01,1.2106183030369406,
True,L63+time,EAKF,0.5,0.05,0.01,1.0759189695245424,
True,L63+time,EAKF,0.5,0.05,0.011,1.1733725042955712,
True,L63+time,EAKF,0.5,0.05,0.011,1.2963885394561472,
True,L63+time,EAKF,0.5,0.05,0.011,1.1854235570246843,
True,L63+time,EAKF,0.5,0.05,0.012,1.2483164321972848,
True,L63+time,EAKF,0.5,0.05,0.012,1.2538406883279483,
True,L63+time,EAKF,0.5,0.05,0.012,1.4319125500950123,
True,L63+time,EAKF,0.5,0.05,0.013000000000000001,1.210472056133806,
True,L63+time,EAKF,0.5,0.05,0.013000000000000001,1.4066846256091914,
True,L63+time,EAKF,0.5,0.05,0.013000000000000001,1.3877360853819196,
True,L63+time,EAKF,0.5,0.05,0.014,1.4665352307808264,
True,L63+time,EAKF,0.5,0.05,0.014,1.1907705041213699,
True,L63+time,EAKF,0.5,0.05,0.014,1.5110986093480132,
True,L63+time,EAKF,0.5,0.05,0.015,1.5892696036985707,
True,L63+time,EAKF,0.5,0.05,0.015,1.7259623522465197,
True,L63+time,EAKF,0.5,0.05,0.015,1.6925530951289978,
True,L63+time,EAKF,0.5,0.05,0.016,1.2636780531255063,
True,L63+time,EAKF,0.5,0.05,0.016,1.7373678281958143,
True,L63+time,EAKF,0.5,0.05,0.016,1.534852000215906,
True,L63+time,EAKF,0.5,0.05,0.017,1.693358335479328,
True,L63+time,EAKF,0.5,0.05,0.017,1.8949913518344013,
True,L63+time,EAKF,0.5,0.05,0.017,1.5037785640865196,
True,L63+time,EAKF,0.5,0.05,0.018000000000000002,2.105168915462009,
True,L63+time,EAKF,0.5,0.05,0.018000000000000002,1.603720242398286,
True,L63+time,EAKF,0.5,0.05,0.018000000000000002,1.6533416197634838,
