testingType, system, assimilationMethod, observationInterval, stateError, timeError, RMSE, 
True,L63+time,RHF,0.5,0.01,0.048,4.9641688057824505,
True,L63+time,RHF,0.5,0.01,0.048,4.8154033848912015,
True,L63+time,RHF,0.5,0.01,0.049,5.400695846832504,
True,L63+time,RHF,0.5,0.01,0.049,4.859534521858778,
True,L63+time,RHF,0.5,0.01,0.049,4.576008489023949,
True,L63+time,RHF,0.5,0.05,0.0,0.38317878386876036,
True,L63+time,RHF,0.5,0.05,0.0,0.4358792777329253,
True,L63+time,RHF,0.5,0.05,0.0,0.42164032918773214,
True,L63+time,RHF,0.5,0.05,0.001,0.47113211044198566,
True,L63+time,RHF,0.5,0.05,0.001,0.45767597486178957,
True,L63+time,RHF,0.5,0.05,0.001,0.4326426418378593,
True,L63+time,RHF,0.5,0.05,0.002,0.5548169926911113,
True,L63+time,RHF,0.5,0.05,0.002,0.42639391541906246,
True,L63+time,RHF,0.5,0.05,0.002,0.4463592992679044,
True,L63+time,RHF,0.5,0.05,0.003,0.4787082976510327,
True,L63+time,RHF,0.5,0.05,0.003,0.5135840895834693,
True,L63+time,RHF,0.5,0.05,0.003,0.496510902312329,
True,L63+time,RHF,0.5,0.05,0.004,0.609139777469596,
True,L63+time,RHF,0.5,0.05,0.004,0.5710207874122083,
True,L63+time,RHF,0.5,0.05,0.004,0.5391655870343134,
True,L63+time,RHF,0.5,0.05,0.005,0.6038876404546298,
True,L63+time,RHF,0.5,0.05,0.005,0.6290277494518803,
True,L63+time,RHF,0.5,0.05,0.005,0.6158458662333622,
True,L63+time,RHF,0.5,0.05,0.006,0.6765650291039448,
True,L63+time,RHF,0.5,0.05,0.006,0.7440344870402765,
True,L63+time,RHF,0.5,0.05,0.006,0.7239987307342253,
True,L63+time,RHF,0.5,0.05,0.007,0.7498428389240309,
True,L63+time,RHF,0.5,0.05,0.007,0.8550886614443858,
True,L63+time,RHF,0.5,0.05,0.007,0.8257504602779456,
True,L63+time,RHF,0.5,0.05,0.008,0.7919703733773701,
True,L63+time,RHF,0.5,0.05,0.008,0.8260282649963434,
True,L63+time,RHF,0.5,0.05,0.008,0.7914339504668665,
True,L63+time,RHF,0.5,0.05,0.009000000000000001,0.8904130798880294,
True,L63+time,RHF,0.5,0.05,0.009000000000000001,0.922183927818314,
True,L63+time,RHF,0.5,0.05,0.009000000000000001,0.8238826406503499,
True,L63+time,RHF,0.5,0.05,0.01,1.0466708277604189,
True,L63+time,RHF,0.5,0.05,0.01,0.9534781299236095,
True,L63+time,RHF,0.5,0.05,0.01,1.0192163519345308,
